Date,Dividends
2006-08-08,0.58
2001-11-07,0.55
2002-05-08,0.55
2006-02-08,0.56
2010-08-06,0.705
2006-05-08,0.58
2002-02-06,0.55
2002-08-07,0.55
2013-11-06,0.84
2015-05-07,0.92
2018-02-08,0.95
2005-11-08,0.56
2007-05-08,0.61
2010-02-08,0.67
2011-05-06,0.74
2014-02-06,0.84
2015-08-06,0.92
2009-11-06,0.67
2002-11-06,0.55
2007-02-07,0.58
2009-08-06,0.67
2005-05-06,0.56
2001-08-08,0.55
2001-05-04,0.55
2003-02-06,0.55
2018-05-09,0.95
2005-08-08,0.56
2010-11-08,0.705
2014-05-07,0.88
2014-11-06,0.88
2006-11-08,0.58
2011-02-08,0.705
2010-05-06,0.705
2014-08-07,0.88
2015-02-06,0.88
2008-02-06,0.61
2008-08-06,0.64
2003-11-06,0.55
2004-05-06,0.55
2000-02-08,0.55
2000-08-08,0.55
2017-05-08,0.95
2016-11-08,0.94
2004-02-06,0.55
2004-08-06,0.55
2000-05-08,0.55
2016-02-08,0.92
2017-08-08,0.95
2013-05-08,0.84
2015-11-06,0.92
2007-11-07,0.61
2009-05-06,0.67
2012-02-08,0.7625
2013-08-07,0.84
2011-11-07,0.74
2005-02-08,0.55
2000-11-08,0.55
2003-05-07,0.55
2007-08-08,0.86
2009-02-06,0.64
2004-11-08,0.55
2011-08-08,0.74
2001-02-07,0.55
2003-08-06,0.55
2017-11-09,0.95
2016-08-08,0.94
2012-05-08,0.8
2012-11-07,0.8
2017-02-08,0.94
2016-05-06,0.94
2008-05-07,0.64
2008-11-06,0.64
2012-08-08,0.8
2013-02-07,0.8
