Date,Dividends
2006-05-03,0.64
2010-02-03,0.805
2005-11-03,0.6
2010-04-30,0.815
2014-07-31,0.515
2014-01-31,0.5
2018-07-27,0.66
2010-11-03,0.835
2006-02-02,0.625
2010-07-30,0.825
2014-10-31,0.5225
2006-07-28,0.655
2011-05-04,0.855
2018-02-02,0.65
2015-05-04,0.5375
2006-11-01,0.665
2005-05-05,0.55
2009-05-01,0.775
2011-02-03,0.845
2013-08-01,0.485
2015-01-29,0.53
2017-11-03,0.645
2009-07-30,0.785
2005-08-04,0.575
2013-10-31,0.4925
2007-02-02,0.675
2009-10-29,0.795
2014-05-01,0.5075
2018-04-27,0.655
2008-02-05,0.725
2008-05-01,0.735
2012-02-02,0.885
2016-07-28,0.585
2012-08-03,0.91
2016-01-29,0.565
2012-11-01,0.925
2016-10-27,0.595
2008-08-01,0.745
2017-05-04,0.62
2013-05-02,0.4775
2017-08-03,0.6325
2005-02-08,0.5
2009-02-03,0.765
2007-05-03,0.69
2011-08-04,0.865
2013-01-31,0.47
2015-07-30,0.545
2008-11-03,0.755
2007-08-02,0.705
2011-11-03,0.875
2015-10-29,0.555
2007-11-02,0.715
2004-11-09,0.435
2016-04-28,0.575
2012-05-04,0.895
2017-02-02,0.6075
