Date,Dividends
2008-03-14,0.25
2012-03-13,0.099377
2010-11-17,0.25
2006-11-22,0.1
2014-11-13,1.5
2015-05-15,1.5
2015-03-05,1.5
2011-03-11,0.25
2011-05-12,0.5
2011-08-17,0.1
2015-08-13,1.5
2007-05-18,0.15
2007-08-23,0.15
2017-03-09,1.5
2010-05-18,0.25
2011-11-16,0.1
2014-05-15,1.5
2015-11-12,1.5
2007-03-12,0.1
2018-05-11,1.75
2016-03-03,1.5
2010-08-18,0.25
2006-05-18,0.1
2014-08-14,1.5
2006-08-17,0.1
2014-03-11,1.5
2006-03-23,0.1
2008-11-18,0.25
2012-11-13,0.099406
2018-03-09,1.75
2013-02-19,1.0
2016-11-09,1.5
2009-05-20,0.25
2017-05-11,1.5
2009-08-18,0.25
2013-05-09,1.0
2013-08-14,1.25
2007-11-15,0.15
2017-08-10,1.5
2005-08-25,0.1
2009-03-12,0.25
2012-05-14,0.099467
2016-05-10,1.5
2008-05-20,0.25
2013-11-12,1.25
2005-11-23,0.1
2009-11-18,0.25
2017-11-10,1.5
2010-03-11,0.25
2012-08-14,0.099376
2008-08-20,0.25
2016-08-11,1.5
