Date,Dividends
2010-04-28,0.32
2014-01-29,0.49
2014-04-28,0.5
2018-07-30,0.66
2010-01-27,0.32
2010-07-28,0.36
2014-10-29,0.52
2014-07-29,0.51
2005-01-27,0.2
2006-07-27,0.24
2010-10-27,0.37
2006-04-26,0.24
2018-01-30,0.66
2006-11-01,0.25
2000-10-27,0.25
2013-04-26,0.46
2015-01-29,0.53
2017-07-28,0.64
2004-10-27,0.19
2005-04-28,0.21
2009-07-29,0.3
2011-01-27,0.37
2013-07-29,0.47
2009-04-28,0.3
2017-10-30,0.65
2009-10-29,0.3
2006-01-27,0.23
2013-10-29,0.48
2005-10-27,0.22
2018-04-27,0.66
2005-07-27,0.22
2012-04-26,0.42
2016-07-28,0.6
2016-01-29,0.57
2012-10-31,0.44
2012-01-27,0.41
2012-07-27,0.42
2016-10-27,0.61
2008-04-28,0.3
2015-03-27,0.36
2008-10-29,0.3
2000-08-03,0.25
2012-10-29,0.44
2007-01-29,0.26
2004-04-28,0.18
2008-07-29,0.3
2017-04-27,0.63
2004-07-28,0.18
2011-04-27,0.38
2015-07-29,0.55
2017-01-27,0.62
2000-01-26,0.5
2015-04-28,0.18
2007-04-26,0.27
2009-01-28,0.3
2011-07-28,0.4
2015-10-29,0.56
2013-01-29,0.45
2004-01-29,0.17
2007-07-27,0.27
2011-10-27,0.4
2003-10-29,0.15
2008-01-29,0.29
2016-04-28,0.58
2007-10-29,0.28
