Date,Dividends
2012-09-18,0.28
2007-12-20,0.22
2008-06-19,0.22
2009-09-03,0.24
2016-09-19,0.28
2008-09-22,0.24
2013-03-20,0.28
2015-03-18,0.28
2015-12-22,0.28
2010-09-10,0.26
2011-03-11,0.27
2017-12-22,0.18
2017-03-20,0.18
2009-12-22,0.25
2011-12-21,0.28
2013-06-19,0.28
2013-12-18,0.28
2017-09-19,0.18
2009-03-20,0.24
2017-06-19,0.18
2010-12-15,0.26
2007-06-20,0.14
2011-09-21,0.27
2013-09-18,0.28
2015-06-11,0.28
2011-06-16,0.27
2015-09-17,0.28
2008-12-19,0.24
2009-06-22,0.24
2007-09-21,0.22
2010-03-23,0.26
2012-03-20,0.28
2014-03-18,0.28
2016-03-16,0.28
2016-12-20,0.28
2018-03-16,0.18
2010-06-22,0.26
2012-06-19,0.28
2014-06-17,0.28
2008-03-19,0.22
2012-12-19,0.28
2014-12-17,0.28
2014-09-24,0.28
2016-06-16,0.28
2018-06-15,0.18
