Date,Dividends
2005-07-18,0.32
2018-01-26,0.39
2018-07-27,0.39
2001-04-17,0.3
2013-10-15,0.39
2005-01-19,0.32
2005-10-18,0.32
2009-07-08,0.36
2009-10-13,0.36
2001-07-19,0.3
2013-01-17,0.39
2001-10-17,0.3
2002-04-19,0.31
2006-04-18,0.32
2010-04-13,0.36
2009-01-20,0.35
2014-04-10,0.39
2014-07-16,0.39
2000-07-21,0.3
2000-12-27,0.3
2008-07-16,0.35
2006-01-18,0.32
2014-01-09,0.39
2000-04-20,0.3
2004-04-16,0.31
2010-01-14,0.36
2017-07-20,0.39
2000-10-23,0.3
2004-10-19,0.32
2008-10-15,0.35
2002-01-17,0.3
2004-07-16,0.31
2017-04-19,0.39
2017-10-20,0.39
2013-04-15,0.39
2005-04-18,0.32
2013-07-15,0.39
2018-04-27,0.39
2009-04-15,0.35
2016-04-21,0.39
2007-07-17,0.34
2011-10-17,0.38
2003-01-21,0.31
2011-01-12,0.37
2003-04-17,0.31
2007-01-17,0.34
2003-10-20,0.31
2011-07-07,0.37
2003-07-18,0.31
2007-10-18,0.35
2012-07-24,0.38
2015-01-21,0.39
2016-07-20,0.39
2012-10-18,0.39
2002-01-02,0.3
2008-04-16,0.35
2012-04-11,0.38
2016-10-19,0.39
2006-07-18,0.33
2010-07-13,0.36
2012-01-12,0.38
2014-10-15,0.39
2008-01-17,0.35
2002-10-18,0.31
2017-01-19,0.39
2004-01-14,0.31
2010-10-13,0.37
2002-07-18,0.31
2006-10-18,0.33
2015-04-22,0.39
2015-07-22,0.39
2016-01-20,0.39
2007-04-17,0.34
2011-04-13,0.37
2015-10-21,0.39
