Date,Dividends
2010-04-28,0.6
2014-01-29,0.65
2014-04-28,0.66
2018-07-30,0.795
2010-01-27,0.59
2010-07-28,0.6
2014-10-29,0.665
2014-07-29,0.665
2006-07-27,0.43
2010-10-27,0.6
2006-04-26,0.43
2018-01-30,0.77
2006-10-27,0.43
2015-01-28,0.665
2017-07-27,0.74
2013-04-26,0.64
2009-07-29,0.59
2011-01-27,0.61
2013-07-29,0.65
2009-04-28,0.59
2009-10-28,0.59
2017-10-20,0.755
2006-01-27,0.4
2013-10-29,0.65
2005-10-27,0.4
2018-04-27,0.785
2005-07-27,0.15
2016-01-27,0.67
2016-07-27,0.69
2012-04-26,0.63
2012-10-31,0.64
2012-01-27,0.63
2012-07-27,0.64
2016-10-27,0.7
2008-04-28,0.57
2008-10-29,0.59
2012-10-29,0.64
2007-01-29,0.43
2008-07-29,0.58
2017-04-26,0.725
2011-04-27,0.61
2015-07-29,0.665
2017-01-27,0.71
2015-04-28,0.665
2007-04-26,0.47
2009-01-28,0.59
2011-07-27,0.62
2015-10-28,0.665
2013-01-29,0.64
2007-07-27,0.5
2011-10-27,0.62
2008-01-29,0.52
2016-04-27,0.68
2007-10-29,0.5
2017-05-24,0.725
