Date,Open,High,Low,Close,Adj Close,Volume
2000-02-23,8.812500,8.937500,8.312500,8.375000,1.893916,39100
2000-02-24,8.500000,8.500000,8.125000,8.375000,1.893916,53300
2000-02-25,8.562500,9.000000,8.250000,8.500000,1.922183,68400
2000-02-28,8.500000,8.687500,8.375000,8.562500,1.936317,45600
2000-02-29,8.687500,8.687500,8.500000,8.625000,1.950451,44900
2000-03-01,8.687500,8.687500,8.500000,8.500000,1.922183,33100
2000-03-02,8.500000,8.500000,8.062500,8.312500,1.879782,94800
2000-03-03,8.375000,8.625000,8.250000,8.375000,1.893916,65700
2000-03-06,8.437500,8.562500,8.375000,8.375000,1.893916,40700
2000-03-07,8.187500,8.500000,8.125000,8.187500,1.851515,36200
2000-03-08,8.187500,8.250000,8.062500,8.187500,1.851515,28000
2000-03-09,8.187500,8.625000,8.125000,8.625000,1.950451,32400
2000-03-10,8.625000,8.625000,8.375000,8.437500,1.908050,44400
2000-03-13,8.375000,8.375000,8.187500,8.312500,1.879782,35800
2000-03-14,8.437500,8.750000,8.375000,8.687500,1.964584,43300
2000-03-15,8.750000,8.750000,8.437500,8.562500,1.936317,49900
2000-03-16,8.500000,8.625000,8.500000,8.562500,1.936317,25800
2000-03-17,8.687500,8.875000,8.625000,8.750000,1.978719,56800
2000-03-20,8.750000,9.312500,8.750000,8.875000,2.006986,45500
2000-03-21,9.062500,9.375000,9.062500,9.062500,2.049387,52500
2000-03-22,8.812500,9.125000,8.750000,8.937500,2.021119,64200
2000-03-23,8.812500,9.312500,8.812500,9.125000,2.063520,59400
2000-03-24,9.000000,9.562500,8.875000,9.562500,2.162456,40900
2000-03-27,9.625000,9.937500,9.562500,9.875000,2.233124,48800
2000-03-28,9.750000,9.875000,9.437500,9.875000,2.233124,69800
2000-03-29,10.250000,10.250000,10.062500,10.125000,2.289660,49000
2000-03-30,10.062500,10.250000,10.062500,10.125000,2.289660,36400
2000-03-31,10.250000,10.375000,10.125000,10.250000,2.317928,68900
2000-04-03,10.312500,10.375000,10.125000,10.125000,2.289660,39200
2000-04-04,10.125000,10.250000,10.062500,10.250000,2.317928,46100
2000-04-05,10.250000,10.250000,10.062500,10.125000,2.289660,24100
2000-04-06,9.875000,9.937500,9.750000,9.750000,2.204858,96100
2000-04-07,9.062500,9.812500,9.062500,9.562500,2.162456,83200
2000-04-10,9.625000,9.625000,9.500000,9.562500,2.162456,31000
2000-04-11,9.625000,9.625000,9.500000,9.562500,2.162456,37500
2000-04-12,9.625000,9.625000,9.437500,9.500000,2.148324,43500
2000-04-13,9.375000,9.375000,9.000000,9.375000,2.120055,89900
2000-04-14,9.375000,9.375000,9.062500,9.375000,2.120055,83000
2000-04-17,9.375000,9.437500,9.187500,9.437500,2.134189,48800
2000-04-18,9.312500,9.375000,9.187500,9.250000,2.091788,35600
2000-04-19,9.250000,9.500000,9.125000,9.437500,2.134189,92900
2000-04-20,9.000000,9.125000,8.750000,8.937500,2.087476,64600
2000-04-24,8.812500,8.875000,8.687500,8.812500,2.058280,58100
2000-04-25,8.687500,8.875000,8.500000,8.687500,2.029085,87700
2000-04-26,8.625000,8.750000,8.375000,8.687500,2.029085,72400
2000-04-27,8.625000,8.687500,8.500000,8.625000,2.014488,41700
2000-04-28,8.687500,8.687500,8.437500,8.562500,1.999890,56600
2000-05-01,8.562500,8.625000,8.375000,8.437500,1.970695,67800
2000-05-02,8.500000,8.687500,8.437500,8.437500,1.970695,35800
2000-05-03,8.500000,9.500000,8.437500,9.125000,2.131269,78900
2000-05-04,9.000000,9.500000,9.000000,9.312500,2.175062,30100
2000-05-05,9.312500,9.500000,9.312500,9.500000,2.218857,36900
2000-05-08,9.500000,9.750000,9.437500,9.562500,2.233453,44000
2000-05-09,9.625000,9.625000,9.250000,9.562500,2.233453,88900
2000-05-10,9.375000,9.500000,9.062500,9.250000,2.160465,47800
2000-05-11,9.125000,9.125000,9.000000,9.000000,2.102074,30700
2000-05-12,9.062500,9.062500,8.937500,9.000000,2.102074,28500
2000-05-15,9.000000,9.750000,9.000000,9.750000,2.277247,72700
2000-05-16,9.625000,9.625000,9.125000,9.187500,2.145868,24500
2000-05-17,9.062500,9.125000,9.000000,9.125000,2.131269,51400
2000-05-18,9.125000,9.125000,9.062500,9.062500,2.116672,49400
2000-05-19,9.062500,9.062500,8.750000,8.937500,2.087476,54200
2000-05-22,8.937500,9.062500,8.875000,9.000000,2.102074,30400
2000-05-23,9.000000,9.000000,8.812500,8.812500,2.058280,36900
2000-05-24,8.937500,9.000000,8.500000,8.562500,1.999890,52300
2000-05-25,8.625000,8.687500,8.625000,8.625000,2.014488,19500
2000-05-26,8.687500,8.937500,8.500000,8.937500,2.087476,51000
2000-05-30,8.812500,9.500000,8.812500,9.500000,2.218857,45000
2000-05-31,9.437500,9.750000,9.125000,9.312500,2.175062,37400
2000-06-01,9.375000,9.375000,9.062500,9.062500,2.116672,20500
2000-06-02,8.812500,8.937500,8.750000,8.750000,2.043684,36800
2000-06-05,8.750000,8.875000,8.750000,8.812500,2.058280,32600
2000-06-06,8.750000,8.750000,8.562500,8.562500,1.999890,71300
2000-06-07,8.625000,8.687500,8.562500,8.562500,1.999890,28300
2000-06-08,8.562500,8.625000,8.500000,8.500000,1.985292,42300
2000-06-09,8.500000,8.500000,8.312500,8.375000,1.956096,64100
2000-06-12,8.375000,8.437500,8.250000,8.312500,1.941499,45000
2000-06-13,8.375000,8.375000,8.250000,8.312500,1.941499,31900
2000-06-14,8.250000,8.312500,8.187500,8.250000,1.926901,42200
2000-06-15,8.312500,8.500000,8.312500,8.312500,1.941499,29800
2000-06-16,8.312500,8.562500,8.312500,8.500000,1.985292,45900
2000-06-19,8.250000,8.500000,8.250000,8.312500,1.941499,43200
2000-06-20,8.187500,8.437500,8.187500,8.312500,1.941499,45800
2000-06-21,8.437500,8.437500,8.250000,8.312500,1.941499,31900
2000-06-22,8.562500,8.562500,7.937500,8.312500,1.941499,67900
2000-06-23,8.312500,8.437500,8.250000,8.250000,1.926901,16900
2000-06-26,8.250000,8.375000,8.250000,8.250000,1.926901,18900
2000-06-27,8.250000,8.437500,8.187500,8.187500,1.912304,33900
2000-06-28,8.062500,8.500000,8.062500,8.500000,1.985292,22500
2000-06-29,8.375000,8.875000,8.250000,8.687500,2.029085,34000
2000-06-30,8.562500,8.875000,7.296800,7.328100,1.711579,401300
2000-07-03,7.625000,8.187500,7.625000,8.000000,1.868511,83000
2000-07-05,8.062500,8.062500,7.625000,7.937500,1.853913,42400
2000-07-06,7.937500,8.125000,7.937500,8.062500,1.883108,51100
2000-07-07,8.062500,8.375000,8.000000,8.312500,1.941499,64300
2000-07-10,8.437500,8.437500,8.125000,8.375000,1.956096,23400
2000-07-11,8.250000,8.875000,8.250000,8.625000,2.014488,66100
2000-07-12,8.625000,8.750000,8.250000,8.250000,1.926901,70800
2000-07-13,8.062500,8.187500,8.000000,8.062500,1.883108,83200
2000-07-14,8.062500,8.375000,8.062500,8.250000,1.926901,37000
2000-07-17,8.250000,8.500000,8.187500,8.312500,1.941499,43100
2000-07-18,8.312500,8.812500,8.250000,8.687500,2.029085,37500
2000-07-19,8.625000,8.625000,8.375000,8.375000,1.956096,34100
2000-07-20,8.375000,8.625000,8.312500,8.562500,1.999890,58800
2000-07-21,8.250000,8.375000,8.125000,8.125000,1.966609,38900
2000-07-24,8.125000,8.125000,8.062500,8.062500,1.951481,96700
2000-07-25,8.062500,8.125000,8.000000,8.062500,1.951481,37300
2000-07-26,8.125000,8.250000,8.062500,8.062500,1.951481,35700
2000-07-27,8.125000,8.437500,8.125000,8.437500,2.042249,55400
2000-07-28,8.500000,8.500000,8.375000,8.375000,2.027120,30100
2000-07-31,8.375000,8.500000,8.375000,8.437500,2.042249,41400
2000-08-01,8.375000,8.625000,8.375000,8.625000,2.087631,30300
2000-08-02,8.500000,8.625000,8.375000,8.562500,2.072503,41200
2000-08-03,8.625000,8.625000,8.500000,8.562500,2.072503,46600
2000-08-04,8.500000,8.625000,8.500000,8.625000,2.087631,44000
2000-08-07,8.562500,8.625000,8.500000,8.562500,2.072503,54700
2000-08-08,8.562500,8.625000,8.500000,8.562500,2.072503,42900
2000-08-09,8.562500,8.687500,8.500000,8.625000,2.087631,140400
2000-08-10,8.562500,8.562500,8.500000,8.500000,2.057375,46400
2000-08-11,8.500000,8.625000,8.500000,8.562500,2.072503,34600
2000-08-14,8.562500,8.687500,8.562500,8.687500,2.102759,33800
2000-08-15,8.625000,8.687500,8.500000,8.562500,2.072503,63800
2000-08-16,8.562500,8.625000,8.500000,8.562500,2.072503,36300
2000-08-17,8.500000,8.687500,8.500000,8.625000,2.087631,67000
2000-08-18,8.562500,8.687500,8.562500,8.687500,2.102759,37100
2000-08-21,8.625000,8.625000,8.562500,8.562500,2.072503,14300
2000-08-22,8.625000,8.812500,8.500000,8.750000,2.117887,150800
2000-08-23,8.750000,8.812500,8.625000,8.750000,2.117887,45600
2000-08-24,8.687500,8.875000,8.687500,8.875000,2.148143,49500
2000-08-25,8.812500,9.312500,8.750000,9.250000,2.238908,42900
2000-08-28,9.312500,9.375000,8.812500,8.875000,2.148143,37200
2000-08-29,8.875000,9.000000,8.812500,8.812500,2.133014,13600
2000-08-30,8.812500,9.000000,8.812500,8.875000,2.148143,14300
2000-08-31,8.875000,9.125000,8.750000,9.125000,2.208653,27800
2000-09-01,9.000000,9.000000,8.812500,8.812500,2.133014,13500
2000-09-05,8.687500,8.875000,8.687500,8.687500,2.102759,18800
2000-09-06,8.625000,8.812500,8.625000,8.687500,2.102759,15100
2000-09-07,8.687500,8.812500,8.687500,8.687500,2.102759,14400
2000-09-08,8.687500,8.750000,8.625000,8.687500,2.102759,24100
