Date,Open,High,Low,Close,Adj Close,Volume
2005-05-25,24.500000,25.600000,24.350000,24.510000,9.161217,2145400
2005-05-26,24.580000,24.700001,23.660000,24.010000,8.974329,422900
2005-05-27,24.000000,24.799999,23.850000,24.400000,9.120101,122400
2005-05-31,24.500000,24.750000,24.299999,24.549999,9.176166,119300
2005-06-01,24.500000,24.950001,24.430000,24.799999,9.269608,96700
2005-06-02,24.780001,25.209999,24.760000,25.049999,9.363053,100500
2005-06-03,25.100000,25.190001,24.910000,25.000000,9.344368,80700
2005-06-06,25.049999,25.049999,24.549999,24.850000,9.288299,52700
2005-06-07,24.950001,25.000000,24.799999,24.900000,9.306991,57000
2005-06-08,25.000000,25.150000,24.950001,25.000000,9.344368,60300
2005-06-09,25.000000,25.000000,24.799999,24.950001,9.325679,33900
2005-06-10,25.000000,25.100000,24.860001,25.000000,9.344368,35800
2005-06-13,25.049999,25.250000,24.950001,25.250000,9.437808,55100
2005-06-14,25.290001,25.950001,25.170000,25.750000,9.624696,77300
2005-06-15,25.700001,26.549999,25.549999,26.350000,9.848962,54600
2005-06-16,26.340000,27.250000,26.330000,26.850000,10.035851,70700
2005-06-17,26.850000,26.900000,26.350000,26.400000,9.867648,37500
2005-06-20,26.500000,26.500000,25.750000,25.750000,9.624696,62600
2005-06-21,25.950001,25.950001,25.520000,25.700001,9.606007,55400
2005-06-22,25.650000,25.650000,25.250000,25.400000,9.493876,29800
2005-06-23,25.290001,25.990000,25.100000,25.660000,9.591052,54600
2005-06-24,25.600000,25.600000,25.350000,25.500000,9.531255,31500
2005-06-27,25.400000,25.500000,25.160000,25.500000,9.531255,57700
2005-06-28,25.400000,25.700001,25.309999,25.549999,9.549944,39400
2005-06-29,25.530001,25.799999,25.320000,25.350000,9.475187,57300
2005-06-30,25.320000,25.549999,25.299999,25.340000,9.471449,41600
2005-07-01,25.389999,25.900000,25.350000,25.900000,9.680761,24900
2005-07-05,26.000000,26.450001,26.000000,26.450001,9.886342,63000
2005-07-06,26.469999,26.900000,26.360001,26.780001,10.009682,56000
2005-07-07,26.700001,26.850000,26.650000,26.799999,10.017160,39000
2005-07-08,26.809999,27.850000,26.660000,27.250000,10.185362,71300
2005-07-11,27.150000,27.250000,27.100000,27.180000,10.159195,20400
2005-07-12,27.180000,28.049999,27.049999,28.049999,10.484377,30100
2005-07-13,28.000000,28.049999,27.799999,27.959999,10.450739,24600
2005-07-14,28.059999,28.059999,27.650000,27.660000,10.338610,21300
2005-07-15,27.629999,27.750000,27.450001,27.480000,10.271326,12200
2005-07-18,27.480000,27.500000,27.120001,27.150000,10.147982,17100
2005-07-19,27.049999,27.250000,26.900000,27.200001,10.166666,24000
2005-07-20,27.250000,27.650000,27.250000,27.600000,10.316181,26500
2005-07-21,27.650000,27.850000,27.500000,27.500000,10.278803,20200
2005-07-22,27.400000,27.400000,27.000000,27.000000,10.091914,34800
2005-07-25,26.900000,26.950001,26.750000,26.799999,10.017160,35300
2005-07-26,26.850000,27.129999,26.840000,27.000000,10.091914,35600
2005-07-27,26.950001,27.490000,26.950001,27.290001,10.257298,22800
2005-07-28,27.350000,27.700001,27.350000,27.700001,10.411402,31100
2005-07-29,27.750000,27.850000,27.660000,27.750000,10.430192,11400
2005-08-01,27.799999,28.049999,27.799999,28.010000,10.527916,29300
2005-08-02,28.230000,28.700001,28.150000,28.700001,10.787264,25400
2005-08-03,28.850000,29.250000,28.549999,29.250000,10.993985,33200
2005-08-04,29.400000,29.480000,29.200001,29.350000,11.031572,15800
2005-08-05,29.400000,29.799999,29.299999,29.350000,11.031572,22000
2005-08-08,29.250000,29.250000,28.500000,28.809999,10.828604,28800
